Date,Open,High,Low,Close,Adj Close,Volume
2022-06-01,86.440002,86.779999,83.709999,85.000000,83.392891,6543900
2022-06-02,85.180000,85.379997,83.669998,85.199997,83.589096,7468700
2022-06-03,84.169998,84.989998,83.680000,84.120003,82.529526,5276900
2022-06-06,85.199997,86.279999,84.739998,84.870003,83.265350,4022400
2022-06-07,84.150002,85.400002,83.879997,85.330002,83.716644,4514300
2022-06-08,84.500000,85.129997,82.739998,83.199997,81.626915,6787200
2022-06-09,82.699997,82.879997,81.150002,81.160004,79.625488,6951700
2022-06-10,79.540001,79.709999,76.949997,77.400002,75.936577,9671600
2022-06-13,75.019997,76.260002,74.139999,75.180000,73.758553,10446400
2022-06-14,75.419998,76.769997,74.269997,74.959999,73.542709,7400300
2022-06-15,75.800003,77.199997,74.330002,76.019997,74.582664,9273300
2022-06-16,74.089996,74.360001,72.489998,73.949997,72.551811,11068400
2022-06-17,73.809998,74.620003,72.660004,72.900002,71.521660,17285900
2022-06-21,75.070000,75.250000,74.160004,74.629997,73.218956,8063800
2022-06-22,73.639999,74.910004,73.089996,74.400002,72.993309,6322600
2022-06-23,74.410004,74.529999,72.230003,73.970001,72.571434,7958000
2022-06-24,75.599998,78.550003,75.019997,77.820000,76.348640,10795400
2022-06-27,78.400002,78.400002,76.910004,77.440002,75.975830,5937600
2022-06-28,80.379997,81.220001,78.050003,78.160004,76.682220,10259100
2022-06-29,78.279999,79.290001,77.510002,78.190002,76.711647,8534900
2022-06-30,76.570000,76.830002,74.529999,76.059998,74.621918,10182400
2022-07-01,75.760002,77.050003,74.680000,76.750000,75.298874,6017500
2022-07-05,75.059998,76.129997,73.599998,76.110001,74.670967,8706900
2022-07-06,75.760002,76.169998,74.690002,75.449997,74.023445,6895900
2022-07-07,76.290001,77.209999,76.129997,76.989998,75.534332,6258300
2022-07-08,77.389999,77.519997,76.400002,76.730003,75.279251,5890500
2022-07-11,75.860001,76.360001,75.279999,75.820000,74.386459,4918900
2022-07-12,75.199997,77.260002,75.059998,75.940002,74.504189,6558400
2022-07-13,75.239998,75.500000,74.010002,74.980003,73.562340,7780100
2022-07-14,74.010002,75.070000,72.050003,74.690002,73.277824,13296200
2022-07-15,75.940002,78.769997,75.660004,78.050003,76.574295,11663900
2022-07-18,79.500000,80.400002,78.419998,78.860001,77.368980,11596800
2022-07-19,79.860001,81.989998,79.830002,81.650002,80.106224,9952000
2022-07-20,81.470001,82.269997,80.940002,81.809998,80.263199,7653400
2022-07-21,81.500000,83.099998,81.220001,83.019997,81.450317,9053400
2022-07-22,83.099998,83.529999,81.660004,82.430000,80.871483,6564000
2022-07-25,82.889999,83.180000,82.120003,82.550003,80.989212,6208200
2022-07-26,81.800003,82.570000,80.629997,80.790001,79.262489,7121600
2022-07-27,81.389999,82.860001,80.959999,82.510002,80.949966,7751300
2022-07-28,81.760002,83.070000,80.900002,82.949997,82.153290,6324800
2022-07-29,82.970001,84.629997,82.970001,84.300003,83.490334,8597700
2022-08-01,83.660004,84.540001,83.010002,84.089996,83.282341,5439200
2022-08-02,83.330002,84.589996,82.959999,83.529999,82.727722,7684700
2022-08-03,84.680000,85.589996,84.120003,85.050003,84.233131,7043600
2022-08-04,85.199997,85.650002,84.800003,85.360001,84.540146,5722600
2022-08-05,84.989998,86.709999,84.709999,86.129997,85.302750,6219300
2022-08-08,86.760002,87.220001,85.949997,86.029999,85.203712,5719700
2022-08-09,86.449997,86.839996,85.870003,86.360001,85.530548,4920100
2022-08-10,87.529999,89.660004,87.500000,88.889999,88.036247,7271700
2022-08-11,89.980003,90.839996,89.800003,90.199997,89.333656,8808100
2022-08-12,90.620003,91.750000,90.059998,91.660004,90.779640,6259000
2022-08-15,90.650002,92.290001,90.459999,92.019997,91.136177,7348900
2022-08-16,91.480003,92.269997,91.339996,91.820000,90.938103,5953800
2022-08-17,90.389999,91.830002,90.349998,91.349998,90.472618,5499000
2022-08-18,91.169998,92.000000,90.989998,91.730003,90.848969,4664800
2022-08-19,90.650002,90.919998,89.660004,90.010002,89.145493,6264100
2022-08-22,88.430000,88.860001,87.709999,88.459999,87.610374,6452800
2022-08-23,88.459999,89.250000,87.959999,88.300003,87.451912,7487700
2022-08-24,87.989998,89.040001,87.809998,88.599998,87.749031,5262400
2022-08-25,89.070000,90.099998,88.800003,89.910004,89.046448,4943300
